Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Frequency_Score,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Categories_List
2023-06-08 20:26:58,20,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Not specified,Multiple pages,1,Yes,Often,High shipping costs,Always,No,Occasionally,No,5,Sometimes,5,3,Customer service,UI,742772,"['Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-07 22:10:26,15,Other,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Other,Multiple pages,3,Yes,Never,Other,Rarely,Yes,Rarely,Yes,2,Sometimes,1,5,Quick delivery,No problems with Amazon,263120,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-08 03:24:37,17,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Keyword Search,Multiple pages,5,No,Always,Changed my mind or no longer need the item,Never,No,Never,No,4,Sometimes,1,2,Wide product selection,Irrelevant product suggestions,772342,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-07 18:20:53,27,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Not specified,Multiple pages,5,Maybe,Never,Other,Always,Yes,Heavily,Yes,1,No,3,1,Customer service,User interface of app,217285,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-07 14:19:05,10,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Other,Multiple pages,4,No,Always,High shipping costs,Always,Yes,Never,Yes,5,No,4,3,Not specified,Nothing,429736,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-08 22:40:33,57,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Multiple times a day,Category Browsing,Multiple pages,5,Yes,Never,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Yes,4,Sometimes,4,3,Wide product selection,Quality of product is very poor according to the big offers,703143,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-05 13:35:41,51,Other,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Moderately,No,4,Yes,5,5,Wide product selection,Scrolling option would be much better than going to next page,226150,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 14:07:12,30,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,Not specified,First page,2,No,Often,Other,Always,Yes,Moderately,Yes,2,Yes,4,5,User-friendly website/app interface,Customer service responsiveness,686637,"['Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-08 03:28:23,54,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Other,Multiple pages,4,Maybe,Often,High shipping costs,Rarely,No,Occasionally,Sometimes,5,Yes,4,5,User-friendly website/app interface,Nil,724960,"['Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-05 04:26:25,62,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword Search,Multiple pages,1,No,Never,High shipping costs,Never,No,Occasionally,Sometimes,5,Sometimes,4,3,User-friendly website/app interface,Customer service responsiveness,415270,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-12 15:52:33,39,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,Keyword Search,First page,3,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,No,3,4,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues,133139,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-04 21:22:58,29,Male,Less than once a month,Beauty and Personal Care,Yes,Few times a month,Not specified,Multiple pages,3,No,Always,Found a better price elsewhere,Never,Yes,Rarely,Yes,1,No,5,4,All the above,User interface of app,802518,['Beauty and Personal Care']
2023-06-12 14:41:06,16,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Other,First page,3,No,Always,High shipping costs,Always,No,Rarely,Sometimes,3,No,4,3,Product recommendations,better app interface and lower shipping charges,659706,"['Clothing and Fashion', 'Other']"
2023-06-09 14:36:46,25,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,1,Maybe,Never,Other,Sometimes,Yes,Moderately,Sometimes,4,Yes,1,2,Wide product selection,I don't have any problem with Amazon,979289,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-08 22:24:19,48,Male,Few times a month,Beauty and Personal Care;others,No,Rarely,Keyword Search,Multiple pages,1,No,Always,Other,Rarely,Yes,Rarely,Yes,4,Sometimes,2,1,Wide product selection,No problems with Amazon,922302,"['Beauty and Personal Care', 'Other']"
2023-06-08 17:58:03,19,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Category Browsing,First page,4,No,Often,High shipping costs,Never,Yes,Rarely,Yes,2,Yes,4,2,All the above,Quality of product is very poor according to the big offers,956573,"['Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-04 22:13:28,9,Other,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword Search,First page,2,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Sometimes,2,No,1,1,All the above,Quality of product is very poor according to the big offers,588218,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-07 18:18:37,62,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Not specified,Multiple pages,2,No,Often,Found a better price elsewhere,Never,Yes,Moderately,No,5,No,5,5,User-friendly website/app interface,No problems with Amazon,198427,['Beauty and Personal Care']
2023-06-08 19:50:55,66,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Not specified,First page,3,Yes,Rarely,Other,Rarely,Yes,Rarely,Yes,3,Sometimes,2,5,Wide product selection,Scrolling option would be much better than going to next page,568699,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-11 23:16:18,32,Other,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Not specified,First page,5,Maybe,Often,Other,Rarely,Yes,Heavily,Sometimes,2,Yes,1,5,Competitive prices,Scrolling option would be much better than going to next page,650309,"['Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-05 00:02:56,13,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Rarely,Category Browsing,First page,5,No,Rarely,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,1,Sometimes,3,4,Customer service,I don't have any problem with Amazon,513993,"['Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-08 09:54:40,34,Other,Once a week,others,Yes,Few times a week,Filter,First page,2,No,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,4,Yes,3,2,Customer service,No problems with Amazon,583356,['Other']
2023-06-09 14:44:09,37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword Search,First page,5,Maybe,Never,Changed my mind or no longer need the item,Never,No,Rarely,Sometimes,5,Sometimes,1,1,Customer service,Irrelevant product suggestions,902965,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-07 22:42:24,8,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Few times a month,Category Browsing,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Often,Yes,Never,Yes,2,Yes,2,4,Wide product selection,Product quality and accuracy,106395,"['Groceries and Gourmet Food', 'Home and Kitchen', 'Other']"
2023-06-09 15:26:38,61,Other,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Other,First page,2,No,Never,Other,Sometimes,Yes,Never,Sometimes,1,No,2,3,User-friendly website/app interface,Nil,484801,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-06 19:02:21,41,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Other,Multiple pages,3,Yes,Always,Found a better price elsewhere,Never,No,Moderately,No,4,Sometimes,5,3,Customer service,better app interface and lower shipping charges,103862,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-04 20:20:42,17,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Not specified,Multiple pages,2,No,Often,Other,Never,No,Occasionally,No,1,No,3,2,User-friendly website/app interface,User interface,497649,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-09 09:33:35,29,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a week,Category Browsing,Multiple pages,1,Yes,Often,High shipping costs,Never,No,Moderately,Sometimes,4,Yes,3,1,Quick delivery,Shipping speed and reliability,383484,"['Beauty and Personal Care', 'Home and Kitchen', 'Other']"
2023-06-09 16:32:00,47,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Keyword Search,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,4,No,3,3,Not specified,I don't have any problem with Amazon,496077,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-04 19:13:12,58,Other,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,5,No,Sometimes,High shipping costs,Sometimes,No,Moderately,Yes,3,No,2,2,User-friendly website/app interface,No problems with Amazon,453417,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-04 18:31:41,24,Male,Once a week,Clothing and Fashion;others,Yes,Multiple times a day,Not specified,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,5,No,4,5,User-friendly website/app interface,Shipping speed and reliability,506728,"['Clothing and Fashion', 'Other']"
2023-06-06 18:48:26,8,Prefer not to say,Less than once a month,Clothing and Fashion;others,Sometimes,Multiple times a day,Filter,First page,4,Maybe,Rarely,High shipping costs,Rarely,Yes,Rarely,Sometimes,1,Sometimes,1,3,All the above,Nil,443585,"['Clothing and Fashion', 'Other']"
2023-06-11 22:44:01,59,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Keyword Search,First page,2,Maybe,Often,High shipping costs,Sometimes,Yes,Never,No,4,No,5,1,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues,293476,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-07 12:30:22,62,Female,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Not specified,First page,1,Yes,Often,Other,Sometimes,Yes,Never,Yes,3,Sometimes,1,5,Quick delivery,Nil,782080,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-11 22:58:52,33,Male,Once a week,Groceries and Gourmet Food,No,Multiple times a day,Keyword Search,Multiple pages,1,No,Often,Found a better price elsewhere,Rarely,Yes,Rarely,No,3,No,2,3,Not specified,I have no problem with Amazon yet. But others tell me about the refund issues,688840,['Groceries and Gourmet Food']
2023-06-08 21:39:30,14,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Not specified,First page,3,No,Always,Changed my mind or no longer need the item,Always,No,Occasionally,No,2,No,1,4,All the above,Quality of product is very poor according to the big offers,480923,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-10 14:40:34,35,Other,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Occasionally,Sometimes,3,No,5,5,Product recommendations,Quality of product is very poor according to the big offers,122342,['Clothing and Fashion']
2023-06-05 14:21:37,27,Other,Once a month,Clothing and Fashion,Yes,Few times a month,Category Browsing,First page,5,Yes,Never,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,1,No,2,3,Competitive prices,No problems with Amazon,545823,['Clothing and Fashion']
2023-06-09 09:37:15,60,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Not specified,First page,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Never,Sometimes,2,No,4,1,Quick delivery,Scrolling option would be much better than going to next page,996127,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-06 18:44:50,27,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword Search,Multiple pages,1,Yes,Sometimes,High shipping costs,Always,Yes,Rarely,Sometimes,2,Sometimes,5,2,User-friendly website/app interface,Reducing packaging waste,774794,"['Beauty and Personal Care', 'Clothing and Fashion', 'Other']"
2023-06-07 22:44:42,60,Prefer not to say,Once a month,Home and Kitchen,Sometimes,Few times a month,Category Browsing,First page,1,No,Rarely,Found a better price elsewhere,Never,No,Never,No,4,Sometimes,2,1,Quick delivery,UI,761409,['Home and Kitchen']
2023-06-07 12:13:39,54,Female,Once a month,Clothing and Fashion,Yes,Few times a week,Keyword Search,Multiple pages,2,Maybe,Always,Other,Never,No,Moderately,No,5,Sometimes,2,4,Wide product selection,Add more familiar brands to the list,166620,['Clothing and Fashion']
2023-06-12 16:02:53,60,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Few times a month,Other,First page,1,No,Always,High shipping costs,Always,Yes,Never,Sometimes,3,Sometimes,4,3,Quick delivery,Quality of product is very poor according to the big offers,543596,"['Groceries and Gourmet Food', 'Home and Kitchen', 'Other']"
2023-06-07 14:23:02,40,Female,Once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword Search,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Never,Yes,5,Yes,5,1,Competitive prices,I don't have any problem with Amazon,407279,"['Clothing and Fashion', 'Home and Kitchen', 'Other']"
2023-06-09 15:07:36,48,Prefer not to say,Once a month,Clothing and Fashion,Yes,Few times a week,Not specified,First page,5,No,Sometimes,High shipping costs,Rarely,Yes,Heavily,No,4,Yes,5,5,Product recommendations,Shipping speed and reliability,959377,['Clothing and Fashion']
2023-06-07 21:22:24,49,Prefer not to say,Few times a month,Beauty and Personal Care;Home and Kitchen,Yes,Rarely,Not specified,Multiple pages,2,Yes,Never,Other,Rarely,No,Occasionally,Sometimes,2,No,2,5,Product recommendations,Nothing,985211,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-05 20:06:04,39,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,No,Rarely,Keyword Search,Multiple pages,5,Yes,Always,Found a better price elsewhere,Sometimes,No,Rarely,No,3,No,4,4,Customer service,Shipping speed and reliability,166134,"['Beauty and Personal Care', 'Home and Kitchen', 'Other']"
2023-06-04 20:02:28,53,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Rarely,Keyword Search,Multiple pages,4,No,Always,High shipping costs,Rarely,No,Never,Yes,4,No,2,4,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues,809793,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-08 17:43:45,43,Female,Multiple times a week,others,Sometimes,Few times a week,Not specified,Multiple pages,5,Yes,Rarely,High shipping costs,Never,Yes,Heavily,No,4,Yes,1,1,Customer service,Irrelevant product suggestions,923406,['Other']
2023-06-05 09:20:17,20,Other,Multiple times a week,Beauty and Personal Care;others,No,Few times a month,Category Browsing,First page,3,Maybe,Often,High shipping costs,Sometimes,Yes,Rarely,Sometimes,3,No,5,3,Quick delivery,Quality of product is very poor according to the big offers,599457,"['Beauty and Personal Care', 'Other']"
2023-06-08 18:00:20,61,Other,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword Search,Multiple pages,3,No,Always,High shipping costs,Rarely,No,Moderately,Sometimes,3,No,4,1,Customer service,Nothing,608542,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-04 14:30:44,50,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Category Browsing,First page,3,No,Often,Other,Always,Yes,Occasionally,Sometimes,2,Sometimes,3,4,Product recommendations,Nothing,133581,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-11 23:22:55,14,Male,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,First page,2,Yes,Sometimes,Other,Rarely,Yes,Occasionally,Sometimes,4,No,3,3,Not specified,I don't have any problem with Amazon,535991,['Groceries and Gourmet Food']
